//名前,不安臨界,初期位置,移動禁止位置,属性,必要友好,能力本文
男子学生,1,学校,,学生+少年,2,学生１人の不安カウンターを１つ取り除く。
女子学生,2,学校,,学生+少女,2,学生１人の不安カウンターを１つ取り除く。
お嬢様,1,学校,,学生+少女,3,このキャラクターが学校または都市にいる場合のみ使用できる。このキャラクターと同じエリアにいるキャラクター１人に友好カウンターを１つ置く。
巫女,2,神社,都市,学生+少女,3+5,このキャラクターが神社にいる場合のみ使用できる。神社から暗躍カウンターをひとつ取り除く。+このキャラクターと同じエリアにいるキャラクターひとりの役職を知る（１ループ１回制限）。
刑事,3,都市,,大人+男性,4+5,このループで発生した事件ひとつの犯人を知る。（１ループ１回制限）+このキャラクターと同じエリアにいるキャラクターが死亡するときに割り込んで使用できる。その死亡を無効化する。（１ループ１回制限）
サラリーマン,1,都市,学校,大人+男性,3,このキャラクターの役職を知る。
情報屋,2,都市,,大人+女性,5,ルールＸひとつの正体を知る。（１ループ１回制限）
医者,2,病院,,大人+男性,2+3,このキャラクターと同じエリアにいる、キャラクター１人の不安カウンターをひとつ取り除く。+入院患者が病院以外に移動できるようになる。
入院患者,1,病院,学校+神社+都市,少年,,

